1, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
2, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
3, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
4, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
5, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 1, alt 1, gs_alt 1
6, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 1
7, faces 2, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 3
8, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
9, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 1
10, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 2, alt 1, gs_alt 1
11, faces 1, eq_adaptive 2, eq_contrast 1, eq_brightness 2, eq_contrast_brightness 1, alt 1, gs_alt 1
12, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
13, faces 1, eq_adaptive 2, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 2
14, faces 1, eq_adaptive 2, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
15, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
16, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 2
17, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 2
18, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
19, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
20, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
21, faces 1, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
