1, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
2, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
3, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
4, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 2
5, faces 0, eq_adaptive 1, eq_contrast 1, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
6, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 2
7, faces 1, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 3
8, faces 1, eq_adaptive 0, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 0, alt 1, gs_alt 3
9, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 3
10, faces 0, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 2
11, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
12, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
13, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
14, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
15, faces 0, eq_adaptive 0, eq_contrast 1, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 4
16, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 1
17, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 3
18, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
19, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 0, alt 2, gs_alt 1
20, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
21, faces 1, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
22, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
23, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
24, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 2
25, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
26, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 0, alt 3, gs_alt 2
27, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
28, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 0
29, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
30, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
31, faces 1, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
32, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
33, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
34, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
35, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 0
36, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 1
37, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
38, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
39, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
40, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 2
41, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 2
42, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
43, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
44, faces 0, eq_adaptive 0, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 3, gs_alt 2
45, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 1
46, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
47, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 1
48, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 0
49, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 0
50, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
51, faces 0, eq_adaptive 0, eq_contrast 1, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 1
52, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
53, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
54, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
55, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 0
56, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
57, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
58, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 2, alt 1, gs_alt 1
59, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
60, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
61, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 2
62, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
63, faces 1, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 1
64, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 3
65, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
66, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 1
67, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 1
68, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 3, gs_alt 2
69, faces 0, eq_adaptive 2, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 2
70, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 3, gs_alt 3
71, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 3
72, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
73, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
74, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
75, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 1
76, faces 1, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 3, gs_alt 2
77, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 3
78, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 1
79, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 2
80, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 1
81, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 1
